congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
110,President,99910,99,0,USA,200,0,0,"BUSH, George Walker",,1946,,0.693,-0.539,-84.27028,0.761,308,34,,,
110,House,20300,41,1,AL,200,0,1,"BONNER, Jr., Josiah Robins (Jo)",B001244,1959,,0.367,0.513,-185.43928,0.867,1295,73,,0.401,0.393
110,House,20301,41,3,AL,200,0,1,"ROGERS, Mike Dennis",R000575,1958,,0.359,0.457,-273.78687,0.81766,1360,110,,0.343,0.348
110,House,20302,41,7,AL,100,0,1,"DAVIS, Artur",D000602,1967,,-0.27,0.454,-103.78526,0.927,1370,34,,-0.291,0.393
110,House,29100,41,5,AL,100,0,1,"CRAMER, Robert E. (Bud), Jr.",C000868,1947,,-0.132,0.612,-170.63525,0.877,1299,47,,-0.208,0.682
110,House,29300,41,2,AL,200,0,1,"EVERETT, Robert Terry",E000268,1937,,0.414,0.528,-277.57737,0.806,1290,104,,0.388,0.401
110,House,29301,41,6,AL,200,0,1,"BACHUS, Spencer T., III",B000013,1947,,0.387,0.228,-240.45316,0.828,1276,108,,0.419,0.144
110,House,29701,41,4,AL,200,0,1,"ADERHOLT, Robert",A000055,1965,,0.374,0.586,-257.20764,0.82676,1352,95,,0.36,0.435
110,House,14066,81,1,AK,200,0,1,"YOUNG, Donald Edwin",Y000033,1933,,0.284,0.021,-429.9999,0.68304,1128,168,,0.291,0.269
110,House,20100,61,6,AZ,200,0,1,"FLAKE, Jeff",F000444,1962,,0.855,-0.518,-212.90945,0.8544,1353,78,,0.937,-0.348
110,House,20303,61,1,AZ,200,0,1,"RENZI, Rick",R000574,1958,,0.265,0.199,-333.33758,0.772,1288,135,,0.256,0.177
110,House,20304,61,2,AZ,200,0,1,"FRANKS, Trent",F000448,1957,,0.749,0.087,-100.63673,0.92913,1369,33,,0.79,0.007
110,House,20305,61,7,AZ,100,0,1,"GRIJALVA, Raúl M.",G000551,1948,,-0.598,-0.255,-62.82133,0.95476,1357,29,,-0.584,-0.042
110,House,20700,61,5,AZ,100,0,1,"MITCHELL, Harry E.",M001167,1940,,-0.056,0.028,-436.09739,0.728,1374,181,,-0.099,0.115
