congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
111,President,99911,99,0,USA,100,0,0,"OBAMA, Barack",O000167,1961,,-0.354,-0.203,-16.3706,0.923,203,6,,,
111,House,20300,41,1,AL,200,0,1,"BONNER, Jr., Josiah Robins (Jo)",B001244,1959,,0.367,0.513,-131.69209,0.868,933,46,,0.34,0.68
111,House,20301,41,3,AL,200,0,1,"ROGERS, Mike Dennis",R000575,1958,,0.359,0.457,-194.46616,0.81918,975,76,,0.29,0.532
111,House,20302,41,7,AL,100,0,1,"DAVIS, Artur",D000602,1967,,-0.27,0.454,-128.60856,0.853,807,47,,-0.234,0.7
111,House,20900,41,2,AL,100,0,1,"BRIGHT, Bobby Neal, Sr.",B001264,1952,,0.067,0.671,-571.88349,0.546,945,247,,0.069,0.547
111,House,20901,41,5,AL,100,0,1,"GRIFFITH, Parker",G000557,1942,,-0.045,0.522,-196.28558,0.736,639,79,,-0.045,0.541
111,House,29301,41,6,AL,200,0,1,"BACHUS, Spencer T., III",B000013,1947,,0.387,0.228,-172.75462,0.836,962,79,,0.355,0.551
111,House,29701,41,4,AL,200,0,1,"ADERHOLT, Robert",A000055,1965,,0.374,0.586,-156.07384,0.84908,954,57,,0.328,0.623
111,House,90901,41,5,AL,200,0,1,"GRIFFITH, Parker",G000557,1942,,0.385,0.43,-28.07315,0.903,275,11,,0.384,0.416
111,House,14066,81,1,AK,200,0,1,"YOUNG, Donald Edwin",Y000033,1933,,0.284,0.021,-514.72669,0.559,885,192,,0.242,0.642
111,House,20100,61,6,AZ,200,0,1,"FLAKE, Jeff",F000444,1962,,0.855,-0.518,-145.01207,0.85718,941,54,,0.964,-0.265
111,House,20304,61,2,AZ,200,0,1,"FRANKS, Trent",F000448,1957,,0.749,0.087,-108.04206,0.89551,979,54,,0.719,0.126
111,House,20305,61,7,AZ,100,0,1,"GRIJALVA, Raúl M.",G000551,1948,,-0.598,-0.255,-74.75948,0.92316,935,25,,-0.565,-0.314
